t,observer,avg_R,avg_Xi,avg_E,emotion,state,poem
0,Human Civilization,0.3985,0.3612,0.0791,静穏,neutral,宇宙は意味を保留した
0,Archive AI,0.3985,0.3612,0.0791,静穏,neutral,宇宙は意味を保留した
1,Human Civilization,0.3983,0.3607,0.0825,静穏,neutral,宇宙は意味を保留した
1,Archive AI,0.3983,0.3607,0.0825,静穏,neutral,宇宙は意味を保留した
2,Human Civilization,0.3981,0.3602,0.0859,静穏,neutral,宇宙は意味を保留した
2,Archive AI,0.3981,0.3602,0.0859,静穏,neutral,宇宙は意味を保留した
3,Human Civilization,0.3979,0.3597,0.0893,静穏,neutral,宇宙は意味を保留した
3,Archive AI,0.3979,0.3597,0.0893,静穏,neutral,宇宙は意味を保留した
4,Human Civilization,0.3977,0.3592,0.0927,静穏,neutral,宇宙は意味を保留した
4,Archive AI,0.3977,0.3592,0.0927,静穏,neutral,宇宙は意味を保留した
5,Human Civilization,0.3975,0.3587,0.0961,静穏,neutral,宇宙は意味を保留した
5,Archive AI,0.3975,0.3587,0.0961,静穏,neutral,宇宙は意味を保留した
6,Human Civilization,0.3973,0.3582,0.0996,静穏,neutral,宇宙は意味を保留した
6,Archive AI,0.3973,0.3582,0.0996,静穏,neutral,宇宙は意味を保留した
7,Human Civilization,0.3971,0.3578,0.103,静穏,neutral,宇宙は意味を保留した
7,Archive AI,0.3971,0.3578,0.103,静穏,neutral,宇宙は意味を保留した
8,Human Civilization,0.3969,0.3573,0.1064,静穏,neutral,宇宙は意味を保留した
8,Archive AI,0.3969,0.3573,0.1064,静穏,neutral,宇宙は意味を保留した
9,Human Civilization,0.3967,0.3568,0.1098,静穏,neutral,宇宙は意味を保留した
9,Archive AI,0.3967,0.3568,0.1098,静穏,neutral,宇宙は意味を保留した
10,Human Civilization,0.3965,0.3564,0.1133,静穏,neutral,宇宙は意味を保留した
10,Archive AI,0.3965,0.3564,0.1133,静穏,neutral,宇宙は意味を保留した
11,Human Civilization,0.3964,0.3559,0.1167,静穏,neutral,宇宙は意味を保留した
11,Archive AI,0.3964,0.3559,0.1167,静穏,neutral,宇宙は意味を保留した
12,Human Civilization,0.3962,0.3554,0.1201,静穏,neutral,宇宙は意味を保留した
12,Archive AI,0.3962,0.3554,0.1201,静穏,neutral,宇宙は意味を保留した
13,Human Civilization,0.396,0.3549,0.1235,静穏,neutral,宇宙は意味を保留した
13,Archive AI,0.396,0.3549,0.1235,静穏,neutral,宇宙は意味を保留した
14,Human Civilization,0.3958,0.3544,0.1269,静穏,neutral,宇宙は意味を保留した
14,Archive AI,0.3958,0.3544,0.1269,静穏,neutral,宇宙は意味を保留した
15,Human Civilization,0.3956,0.3539,0.1303,静穏,neutral,宇宙は意味を保留した
15,Archive AI,0.3956,0.3539,0.1303,静穏,neutral,宇宙は意味を保留した
16,Human Civilization,0.3954,0.3534,0.1337,静穏,neutral,宇宙は意味を保留した
16,Archive AI,0.3954,0.3534,0.1337,静穏,neutral,宇宙は意味を保留した
17,Human Civilization,0.3952,0.353,0.1371,静穏,neutral,宇宙は意味を保留した
17,Archive AI,0.3952,0.353,0.1371,静穏,neutral,宇宙は意味を保留した
