t,observer,memory,life,alive
0,Human Civilization,1.0025,1.002,True
0,Archive AI,0.9028,1.0018,True
1,Human Civilization,1.005,1.004,True
1,Archive AI,0.9055,1.0035,True
2,Human Civilization,1.0075,1.006,True
2,Archive AI,0.9083,1.0053,True
3,Human Civilization,1.01,1.0081,True
3,Archive AI,0.911,1.0071,True
4,Human Civilization,1.0125,1.0101,True
4,Archive AI,0.9138,1.0089,True
5,Human Civilization,1.0151,1.0121,True
5,Archive AI,0.9165,1.0106,True
6,Human Civilization,1.0176,1.0142,True
6,Archive AI,0.9193,1.0124,True
7,Human Civilization,1.0201,1.0162,True
7,Archive AI,0.9221,1.0142,True
8,Human Civilization,1.0226,1.0183,True
8,Archive AI,0.9248,1.0161,True
9,Human Civilization,1.0252,1.0203,True
9,Archive AI,0.9276,1.0179,True
10,Human Civilization,1.0277,1.0224,True
10,Archive AI,0.9304,1.0197,True
11,Human Civilization,1.0303,1.0245,True
11,Archive AI,0.9331,1.0215,True
12,Human Civilization,1.0328,1.0266,True
12,Archive AI,0.9359,1.0234,True
13,Human Civilization,1.0354,1.0287,True
13,Archive AI,0.9387,1.0252,True
14,Human Civilization,1.0379,1.0308,True
14,Archive AI,0.9415,1.0271,True
15,Human Civilization,1.0405,1.0329,True
15,Archive AI,0.9442,1.0289,True
16,Human Civilization,1.043,1.035,True
16,Archive AI,0.947,1.0308,True
17,Human Civilization,1.0456,1.0371,True
17,Archive AI,0.9498,1.0327,True
18,Human Civilization,1.0482,1.0392,True
18,Archive AI,0.9526,1.0346,True
19,Human Civilization,1.0507,1.0413,True
19,Archive AI,0.9554,1.0365,True
20,Human Civilization,1.0533,1.0435,True
20,Archive AI,0.9582,1.0383,True
21,Human Civilization,1.0559,1.0456,True
21,Archive AI,0.961,1.0402,True
22,Human Civilization,1.0585,1.0477,True
22,Archive AI,0.9638,1.0422,True
23,Human Civilization,1.0611,1.0499,True
23,Archive AI,0.9666,1.0441,True
24,Human Civilization,1.0637,1.0521,True
24,Archive AI,0.9694,1.046,True
