t,name,P,R,Xi,death_type
0,Kepler-1167 b,0.7631,0.3247,0.0042,alive
0,Kepler-1740 b,0.5682,0.9544,0.365,alive
0,Kepler-1581 b,0.4464,0.0,0.2385,alive
0,Kepler-644 b,0.5608,0.5348,0.1858,alive
0,Kepler-1752 b,0.5562,0.0,0.1947,alive
0,Kepler-280 c,0.4898,0.7571,0.3014,alive
0,Kepler-1208 b,0.7441,0.3061,0.0566,alive
0,Kepler-263 c,0.8745,0.0,0.1586,alive
0,HD 136352 b,0.1316,0.6988,0.0478,alive
0,Kepler-1101 b,0.6342,0.0,0.3358,alive
0,HD 168746 b,0.0525,0.9581,0.7742,alive
0,HAT-P-7 b,0.4588,0.9963,0.1634,alive
0,Kepler-560 b,0.9593,0.4732,0.7724,alive
0,Kepler-150 d,0.8445,0.4503,0.1756,alive
0,Kepler-498 b,0.6301,0.9647,0.5516,alive
0,Kepler-817 b,0.6177,0.0,0.0429,alive
0,Kepler-937 b,0.5404,0.0,0.1789,alive
0,K2-10 b,0.6367,0.2621,0.2436,alive
0,Kepler-571 b,0.6096,0.8071,0.5011,alive
0,Kepler-1458 b,0.6234,0.0,0.2706,alive
0,K2-335 b,0.161,0.5268,0.2941,alive
0,Kepler-1600 c,0.5812,0.0,0.0699,alive
0,HIP 41378 f,0.3798,0.7969,0.3412,alive
0,Kepler-221 d,0.88,0.0,0.3008,alive
0,Kepler-626 b,0.4494,0.2431,0.3571,alive
0,K2-39 b,0.7629,0.0,0.5703,alive
0,Kepler-1549 b,0.652,0.9351,0.1619,alive
0,K2-62 c,0.8163,0.9903,0.5828,alive
0,Kepler-1149 b,0.5817,0.0271,0.3727,alive
0,Kepler-1288 b,0.5456,0.0,0.2722,alive
0,Kepler-128 b,0.3791,0.9812,0.5587,alive
0,Kepler-1245 b,0.6865,0.0,0.29,alive
0,Kepler-1068 b,0.5724,0.226,0.3198,alive
0,Kepler-311 c,0.8079,0.6454,0.1063,alive
0,Kepler-150 e,0.8445,0.0,0.2103,alive
0,Kepler-272 c,0.0,0.9839,0.6501,dead
