t,observer,avg_R,avg_Xi,avg_E
0,Human Civilization,0.4174,0.343,0.026
0,Archive AI,0.4174,0.343,0.026
1,Human Civilization,0.4172,0.3419,0.0285
1,Archive AI,0.4172,0.3419,0.0285
2,Human Civilization,0.417,0.3408,0.031
2,Archive AI,0.417,0.3408,0.031
3,Human Civilization,0.4167,0.3397,0.0336
3,Archive AI,0.4167,0.3397,0.0336
4,Human Civilization,0.4165,0.3386,0.0361
4,Archive AI,0.4165,0.3386,0.0361
5,Human Civilization,0.4163,0.3375,0.0386
5,Archive AI,0.4163,0.3375,0.0386
6,Human Civilization,0.4161,0.3364,0.0412
6,Archive AI,0.4161,0.3364,0.0412
7,Human Civilization,0.4158,0.3353,0.0437
7,Archive AI,0.4158,0.3353,0.0437
8,Human Civilization,0.4157,0.3342,0.0463
8,Archive AI,0.4157,0.3342,0.0463
9,Human Civilization,0.4155,0.3331,0.0488
9,Archive AI,0.4155,0.3331,0.0488
10,Human Civilization,0.4153,0.332,0.0514
10,Archive AI,0.4153,0.332,0.0514
11,Human Civilization,0.415,0.3309,0.0539
11,Archive AI,0.415,0.3309,0.0539
12,Human Civilization,0.4148,0.3298,0.0565
12,Archive AI,0.4148,0.3298,0.0565
13,Human Civilization,0.4146,0.3286,0.0591
13,Archive AI,0.4146,0.3286,0.0591
14,Human Civilization,0.4145,0.3275,0.0617
14,Archive AI,0.4145,0.3275,0.0617
15,Human Civilization,0.4142,0.3264,0.0643
15,Archive AI,0.4142,0.3264,0.0643
16,Human Civilization,0.414,0.3253,0.0669
16,Archive AI,0.414,0.3253,0.0669
17,Human Civilization,0.4138,0.3243,0.0694
17,Archive AI,0.4138,0.3243,0.0694
18,Human Civilization,0.4136,0.3233,0.072
18,Archive AI,0.4136,0.3233,0.072
19,Human Civilization,0.4134,0.3222,0.0746
19,Archive AI,0.4134,0.3222,0.0746
20,Human Civilization,0.4132,0.3212,0.0772
20,Archive AI,0.4132,0.3212,0.0772
21,Human Civilization,0.413,0.3203,0.0797
21,Archive AI,0.413,0.3203,0.0797
22,Human Civilization,0.4128,0.3193,0.0823
22,Archive AI,0.4128,0.3193,0.0823
23,Human Civilization,0.4126,0.3184,0.0849
23,Archive AI,0.4126,0.3184,0.0849
24,Human Civilization,0.4124,0.3175,0.0874
24,Archive AI,0.4124,0.3175,0.0874
25,Human Civilization,0.4121,0.3167,0.09
25,Archive AI,0.4121,0.3167,0.09
26,Human Civilization,0.4119,0.3158,0.0925
26,Archive AI,0.4119,0.3158,0.0925
27,Human Civilization,0.4117,0.315,0.0951
27,Archive AI,0.4117,0.315,0.0951
28,Human Civilization,0.4114,0.3141,0.0976
28,Archive AI,0.4114,0.3141,0.0976
29,Human Civilization,0.4112,0.3132,0.1002
29,Archive AI,0.4112,0.3132,0.1002
30,Human Civilization,0.411,0.3123,0.1028
30,Archive AI,0.411,0.3123,0.1028
31,Human Civilization,0.4108,0.3115,0.1054
31,Archive AI,0.4108,0.3115,0.1054
32,Human Civilization,0.4106,0.3106,0.1079
32,Archive AI,0.4106,0.3106,0.1079
33,Human Civilization,0.4104,0.3097,0.1105
33,Archive AI,0.4104,0.3097,0.1105
34,Human Civilization,0.4102,0.3089,0.113
34,Archive AI,0.4102,0.3089,0.113
35,Human Civilization,0.4099,0.308,0.1156
35,Archive AI,0.4099,0.308,0.1156
36,Human Civilization,0.4097,0.3072,0.1182
36,Archive AI,0.4097,0.3072,0.1182
37,Human Civilization,0.4095,0.3065,0.1208
37,Archive AI,0.4095,0.3065,0.1208
38,Human Civilization,0.4093,0.3057,0.1234
38,Archive AI,0.4093,0.3057,0.1234
39,Human Civilization,0.409,0.3048,0.1259
39,Archive AI,0.409,0.3048,0.1259
40,Human Civilization,0.4088,0.304,0.1285
40,Archive AI,0.4088,0.304,0.1285
41,Human Civilization,0.4086,0.3032,0.1311
41,Archive AI,0.4086,0.3032,0.1311
42,Human Civilization,0.4084,0.3024,0.1336
42,Archive AI,0.4084,0.3024,0.1336
43,Human Civilization,0.4082,0.3016,0.1362
43,Archive AI,0.4082,0.3016,0.1362
44,Human Civilization,0.408,0.3008,0.1388
44,Archive AI,0.408,0.3008,0.1388
45,Human Civilization,0.4077,0.2999,0.1414
45,Archive AI,0.4077,0.2999,0.1414
46,Human Civilization,0.4075,0.2991,0.144
46,Archive AI,0.4075,0.2991,0.144
47,Human Civilization,0.4073,0.2982,0.1466
47,Archive AI,0.4073,0.2982,0.1466
48,Human Civilization,0.4071,0.2974,0.1492
48,Archive AI,0.4071,0.2974,0.1492
49,Human Civilization,0.4069,0.2965,0.1518
49,Archive AI,0.4069,0.2965,0.1518
50,Human Civilization,0.4067,0.2957,0.1544
50,Archive AI,0.4067,0.2957,0.1544
51,Human Civilization,0.4065,0.2949,0.157
51,Archive AI,0.4065,0.2949,0.157
52,Human Civilization,0.4063,0.294,0.1596
52,Archive AI,0.4063,0.294,0.1596
53,Human Civilization,0.4061,0.2931,0.1623
53,Archive AI,0.4061,0.2931,0.1623
54,Human Civilization,0.4059,0.2922,0.1649
54,Archive AI,0.4059,0.2922,0.1649
55,Human Civilization,0.4056,0.2913,0.1675
55,Archive AI,0.4056,0.2913,0.1675
56,Human Civilization,0.4054,0.2904,0.1702
56,Archive AI,0.4054,0.2904,0.1702
57,Human Civilization,0.4052,0.2896,0.1728
57,Archive AI,0.4052,0.2896,0.1728
58,Human Civilization,0.405,0.2887,0.1754
58,Archive AI,0.405,0.2887,0.1754
59,Human Civilization,0.4048,0.2879,0.178
59,Archive AI,0.4048,0.2879,0.178
60,Human Civilization,0.4045,0.287,0.1806
60,Archive AI,0.4045,0.287,0.1806
61,Human Civilization,0.4043,0.2862,0.1832
61,Archive AI,0.4043,0.2862,0.1832
62,Human Civilization,0.404,0.2853,0.1858
62,Archive AI,0.404,0.2853,0.1858
63,Human Civilization,0.4038,0.2845,0.1885
63,Archive AI,0.4038,0.2845,0.1885
64,Human Civilization,0.4036,0.2836,0.191
64,Archive AI,0.4036,0.2836,0.191
65,Human Civilization,0.4034,0.2828,0.1937
65,Archive AI,0.4034,0.2828,0.1937
66,Human Civilization,0.4032,0.282,0.1963
66,Archive AI,0.4032,0.282,0.1963
67,Human Civilization,0.4029,0.2812,0.1989
67,Archive AI,0.4029,0.2812,0.1989
68,Human Civilization,0.4027,0.2804,0.2015
68,Archive AI,0.4027,0.2804,0.2015
69,Human Civilization,0.4025,0.2796,0.2041
69,Archive AI,0.4025,0.2796,0.2041
70,Human Civilization,0.4023,0.2788,0.2067
70,Archive AI,0.4023,0.2788,0.2067
71,Human Civilization,0.4021,0.278,0.2094
71,Archive AI,0.4021,0.278,0.2094
72,Human Civilization,0.4019,0.2772,0.212
72,Archive AI,0.4019,0.2772,0.212
73,Human Civilization,0.4017,0.2765,0.2146
73,Archive AI,0.4017,0.2765,0.2146
74,Human Civilization,0.4015,0.2757,0.2172
74,Archive AI,0.4015,0.2757,0.2172
75,Human Civilization,0.4012,0.275,0.2197
75,Archive AI,0.4012,0.275,0.2197
76,Human Civilization,0.401,0.2743,0.2223
76,Archive AI,0.401,0.2743,0.2223
77,Human Civilization,0.4008,0.2735,0.2249
77,Archive AI,0.4008,0.2735,0.2249
78,Human Civilization,0.4007,0.2727,0.2275
78,Archive AI,0.4007,0.2727,0.2275
79,Human Civilization,0.4004,0.272,0.2301
79,Archive AI,0.4004,0.272,0.2301
80,Human Civilization,0.4002,0.2713,0.2327
80,Archive AI,0.4002,0.2713,0.2327
81,Human Civilization,0.4,0.2706,0.2353
81,Archive AI,0.4,0.2706,0.2353
82,Human Civilization,0.3998,0.2698,0.2379
82,Archive AI,0.3998,0.2698,0.2379
83,Human Civilization,0.3996,0.2691,0.2404
83,Archive AI,0.3996,0.2691,0.2404
84,Human Civilization,0.3994,0.2684,0.243
84,Archive AI,0.3994,0.2684,0.243
85,Human Civilization,0.3991,0.2678,0.2456
85,Archive AI,0.3991,0.2678,0.2456
86,Human Civilization,0.3989,0.2672,0.2482
86,Archive AI,0.3989,0.2672,0.2482
87,Human Civilization,0.3987,0.2665,0.2507
87,Archive AI,0.3987,0.2665,0.2507
88,Human Civilization,0.3985,0.2659,0.2533
88,Archive AI,0.3985,0.2659,0.2533
89,Human Civilization,0.3983,0.2652,0.2559
89,Archive AI,0.3983,0.2652,0.2559
90,Human Civilization,0.3981,0.2645,0.2584
90,Archive AI,0.3981,0.2645,0.2584
91,Human Civilization,0.3979,0.2638,0.261
91,Archive AI,0.3979,0.2638,0.261
92,Human Civilization,0.3977,0.2632,0.2635
92,Archive AI,0.3977,0.2632,0.2635
93,Human Civilization,0.3975,0.2625,0.2661
