t,observer,avg_R,avg_Xi,avg_E
0,Human Civilization,0.3997,0.344,0.0196
0,Archive AI,0.3997,0.344,0.0196
1,Human Civilization,0.3995,0.3429,0.022
1,Archive AI,0.3995,0.3429,0.022
2,Human Civilization,0.3993,0.3418,0.0244
2,Archive AI,0.3993,0.3418,0.0244
3,Human Civilization,0.399,0.3406,0.0268
3,Archive AI,0.399,0.3406,0.0268
4,Human Civilization,0.3989,0.3395,0.0292
4,Archive AI,0.3989,0.3395,0.0292
5,Human Civilization,0.3987,0.3385,0.0317
5,Archive AI,0.3987,0.3385,0.0317
6,Human Civilization,0.3985,0.3374,0.0341
6,Archive AI,0.3985,0.3374,0.0341
7,Human Civilization,0.3983,0.3364,0.0365
7,Archive AI,0.3983,0.3364,0.0365
8,Human Civilization,0.3981,0.3353,0.0389
8,Archive AI,0.3981,0.3353,0.0389
9,Human Civilization,0.3979,0.3341,0.0414
9,Archive AI,0.3979,0.3341,0.0414
10,Human Civilization,0.3977,0.333,0.0438
10,Archive AI,0.3977,0.333,0.0438
11,Human Civilization,0.3975,0.332,0.0463
11,Archive AI,0.3975,0.332,0.0463
12,Human Civilization,0.3973,0.331,0.0487
12,Archive AI,0.3973,0.331,0.0487
13,Human Civilization,0.3971,0.33,0.0511
13,Archive AI,0.3971,0.33,0.0511
14,Human Civilization,0.3969,0.329,0.0536
14,Archive AI,0.3969,0.329,0.0536
15,Human Civilization,0.3967,0.3279,0.056
15,Archive AI,0.3967,0.3279,0.056
16,Human Civilization,0.3964,0.3269,0.0584
16,Archive AI,0.3964,0.3269,0.0584
17,Human Civilization,0.3962,0.3259,0.0609
17,Archive AI,0.3962,0.3259,0.0609
18,Human Civilization,0.396,0.3248,0.0634
18,Archive AI,0.396,0.3248,0.0634
19,Human Civilization,0.3958,0.3238,0.0658
19,Archive AI,0.3958,0.3238,0.0658
20,Human Civilization,0.3956,0.3227,0.0683
20,Archive AI,0.3956,0.3227,0.0683
21,Human Civilization,0.3954,0.3218,0.0708
21,Archive AI,0.3954,0.3218,0.0708
22,Human Civilization,0.3952,0.3207,0.0733
22,Archive AI,0.3952,0.3207,0.0733
23,Human Civilization,0.395,0.3197,0.0757
23,Archive AI,0.395,0.3197,0.0757
24,Human Civilization,0.3948,0.3188,0.0782
24,Archive AI,0.3948,0.3188,0.0782
25,Human Civilization,0.3946,0.3178,0.0806
25,Archive AI,0.3946,0.3178,0.0806
26,Human Civilization,0.3944,0.3168,0.0831
26,Archive AI,0.3944,0.3168,0.0831
27,Human Civilization,0.3942,0.3159,0.0855
27,Archive AI,0.3942,0.3159,0.0855
28,Human Civilization,0.394,0.315,0.088
28,Archive AI,0.394,0.315,0.088
29,Human Civilization,0.3938,0.3141,0.0904
29,Archive AI,0.3938,0.3141,0.0904
30,Human Civilization,0.3936,0.3131,0.0929
30,Archive AI,0.3936,0.3131,0.0929
31,Human Civilization,0.3934,0.3122,0.0954
31,Archive AI,0.3934,0.3122,0.0954
32,Human Civilization,0.3932,0.3113,0.0979
32,Archive AI,0.3932,0.3113,0.0979
33,Human Civilization,0.393,0.3104,0.1004
33,Archive AI,0.393,0.3104,0.1004
34,Human Civilization,0.3929,0.3095,0.1028
34,Archive AI,0.3929,0.3095,0.1028
35,Human Civilization,0.3926,0.3085,0.1053
35,Archive AI,0.3926,0.3085,0.1053
36,Human Civilization,0.3924,0.3076,0.1077
36,Archive AI,0.3924,0.3076,0.1077
37,Human Civilization,0.3922,0.3067,0.1102
37,Archive AI,0.3922,0.3067,0.1102
38,Human Civilization,0.392,0.3059,0.1127
38,Archive AI,0.392,0.3059,0.1127
39,Human Civilization,0.3917,0.305,0.1151
39,Archive AI,0.3917,0.305,0.1151
40,Human Civilization,0.3915,0.3041,0.1176
40,Archive AI,0.3915,0.3041,0.1176
41,Human Civilization,0.3914,0.3032,0.1201
41,Archive AI,0.3914,0.3032,0.1201
42,Human Civilization,0.3911,0.3023,0.1226
42,Archive AI,0.3911,0.3023,0.1226
43,Human Civilization,0.3909,0.3015,0.125
43,Archive AI,0.3909,0.3015,0.125
44,Human Civilization,0.3907,0.3006,0.1275
44,Archive AI,0.3907,0.3006,0.1275
