t,name,P,R,Xi,death_type
0,Kepler-1167 b,0.7631,0.0,0.1601,alive
0,Kepler-1740 b,0.5682,0.1654,0.046,alive
0,Kepler-1581 b,0.4464,0.9915,0.1014,alive
0,Kepler-644 b,0.5608,0.0,0.1345,alive
0,Kepler-1752 b,0.5562,0.0,0.2624,alive
0,Kepler-280 c,0.4898,0.0,0.4238,alive
0,Kepler-1208 b,0.7441,0.8998,0.3292,alive
0,Kepler-263 c,0.8745,0.8387,0.3299,alive
0,HD 136352 b,0.1316,0.8254,0.0837,alive
0,Kepler-1101 b,0.6342,0.7205,0.1052,alive
0,HD 168746 b,0.0525,0.6765,0.7388,alive
0,HAT-P-7 b,0.4588,0.5755,0.0688,alive
0,Kepler-560 b,0.9593,0.941,0.2979,alive
0,Kepler-150 d,0.8445,0.0,0.5498,alive
0,Kepler-498 b,0.6301,0.9834,0.3397,alive
0,Kepler-817 b,0.6177,0.0,0.1834,alive
0,Kepler-937 b,0.5404,0.0,0.0974,alive
0,K2-10 b,0.6367,0.0,0.5103,alive
0,Kepler-571 b,0.6096,0.9748,0.0152,alive
0,Kepler-1458 b,0.6234,0.9542,0.1198,alive
0,K2-335 b,0.161,0.768,0.0104,alive
0,Kepler-1600 c,0.5812,0.0,0.0694,alive
0,HIP 41378 f,0.3798,0.989,0.3895,alive
0,Kepler-221 d,0.88,0.0,0.112,alive
0,Kepler-626 b,0.4494,0.43,0.3516,alive
0,K2-39 b,0.7629,0.0928,0.1735,alive
0,Kepler-1549 b,0.652,0.0,0.4213,alive
0,K2-62 c,0.8163,0.9989,0.518,alive
0,Kepler-1149 b,0.5817,0.0,0.1087,alive
0,Kepler-1288 b,0.5456,0.6729,0.1475,alive
0,Kepler-128 b,0.3791,0.0,0.6043,alive
0,Kepler-1245 b,0.6865,0.9782,0.0712,alive
0,Kepler-1068 b,0.5724,0.9093,0.1197,alive
0,Kepler-311 c,0.8079,0.9615,0.4415,alive
0,Kepler-150 e,0.8445,0.7111,0.0861,alive
0,Kepler-272 c,0.0,0.9661,0.7651,dead
0,Kepler-152 c,0.8929,0.0,0.6827,alive
0,Kepler-1506 b,0.6499,0.9599,0.1324,alive
0,HAT-P-22 b,0.0,0.0,0.3653,dead
0,K2-25 b,0.9927,0.0,0.3991,alive
0,CoRoT-3 b,0.5166,0.1407,0.0305,alive
0,HD 205739 b,0.533,0.2775,0.0718,alive
0,NGTS-10 b,0.5797,0.3399,0.0663,alive
0,HD 224693 b,0.1907,0.9952,0.1007,alive
0,HD 156279 b,0.6487,0.0,0.5828,alive
0,HD 12661 b,0.0,0.9979,0.6669,dead
0,2MASS J12073346-3932539 b,0.9999,0.5671,0.8368,alive
0,HD 16417 b,0.0,0.3834,0.2437,dead
0,HD 19994 b,0.4774,0.0,0.5153,alive
0,61 Vir b,0.2283,0.3012,0.504,alive
0,HD 156279 c,0.6487,0.8892,0.1479,alive
0,GJ 179 b,0.95,0.0,0.2715,alive
0,GQ Lup b,0.9999,0.6692,0.2533,alive
0,GJ 832 b,0.89,0.2533,0.25,alive
0,HD 37605 b,0.5159,0.7883,0.0085,alive
0,HD 33283 b,0.1878,0.8137,0.2359,alive
0,Kepler-4 b,0.2556,0.8779,0.5133,alive
0,HD 9446 b,0.5,0.0,0.491,alive
0,61 Vir c,0.2283,0.1031,0.3397,alive
0,61 Vir d,0.2283,0.8741,0.7532,alive
0,HD 134987 c,0.0,0.0,0.318,dead
0,HD 110014 b,0.3407,0.4793,0.1256,alive
0,HD 79498 b,0.6714,0.9355,0.5831,alive
0,WASP-43 b,0.8207,0.5022,0.6017,alive
0,HD 45652 b,0.318,0.978,0.1404,alive
0,HIP 79431 b,0.916,0.8904,0.6675,alive
0,HD 3167 b,0.5,0.0,0.2455,alive
0,GJ 876 b,0.99,0.8904,0.423,alive
0,HD 114783 c,0.5389,0.9609,0.3106,alive
0,HD 47186 c,0.413,0.4866,0.5856,alive
0,HD 114783 b,0.5968,0.0,0.4666,alive
0,HD 148156 b,0.1779,0.9921,0.0629,alive
0,HD 12661 c,0.3285,0.0,0.1983,alive
0,HIP 14810 c,0.4012,0.0,0.0044,alive
0,HIP 14810 b,0.4012,0.522,0.1858,alive
0,GJ 876 d,0.99,0.9837,0.2035,alive
0,GJ 876 e,0.99,0.8935,0.1448,alive
0,gam1 Leo b,0.5952,0.0,0.1019,alive
0,HAT-P-12 b,0.885,0.9482,0.3184,alive
0,HD 156411 b,0.2522,0.6308,0.3245,alive
0,HD 8535 b,0.3213,0.82,0.6028,alive
0,HD 37605 c,0.5159,0.124,0.0895,alive
0,K2-138 c,0.7633,0.7054,0.1054,alive
0,HD 1605 c,0.1105,0.0,0.094,alive
0,HAT-P-18 b,0.3548,0.6955,0.3323,alive
0,WASP-31 b,0.8541,0.2848,0.4557,alive
0,BD+20 2457 b,0.0,0.9846,0.2978,dead
0,HD 240210 b,0.6904,0.3252,0.2456,alive
0,CoRoT-17 b,0.0,0.4242,0.6388,dead
0,HD 132563 b,0.6115,0.9661,0.1655,alive
0,HD 55696 b,0.5009,0.0,0.1782,alive
0,HD 148164 b,0.6118,0.9987,0.4347,alive
0,24 Sex c,0.2052,0.7183,0.0506,alive
0,K2-138 f,0.7633,0.9757,0.6761,alive
0,CoRoT-5 b,0.3099,0.8397,0.1112,alive
0,HD 192310 c,0.5529,0.0,0.1646,alive
0,HD 22781 b,0.7661,0.0,0.2704,alive
0,HD 68988 b,0.0,0.4771,0.3217,dead
0,HD 148164 c,0.6118,0.0,0.3361,alive
0,HD 29985 b,0.7564,0.2079,0.4931,alive
0,HD 221416 b,0.2075,0.0,0.2566,alive
0,HD 3167 c,0.5,0.1747,0.1568,alive
0,HD 90156 b,0.7154,0.2361,0.4544,alive
0,KOI-217 b,0.8504,0.348,0.1119,alive
0,HD 45350 b,0.2394,0.0,0.6937,alive
0,TrES-3 b,0.9253,0.9749,0.0389,alive
0,WASP-10 b,0.659,0.0,0.1212,alive
0,Kepler-14 b,0.3814,0.9527,0.2559,alive
0,MOA-2009-BLG-266L b,0.8826,0.7257,0.2627,alive
0,Kepler-15 b,0.6131,0.0,0.0133,alive
0,Kepler-595 c,0.7748,0.9875,0.2371,alive
0,Kepler-595 b,0.7748,0.2474,0.7681,alive
0,HD 177830 c,0.0,0.6633,0.4441,dead
0,ups And c,0.0365,0.0,0.7944,alive
0,WASP-5 b,0.5123,0.6525,0.1559,alive
0,OGLE-TR-111 b,0.4642,0.0,0.0726,alive
0,Kepler-17 b,0.8014,0.1401,0.0121,alive
0,CoRoT-18 b,0.9472,0.6268,0.212,alive
0,HD 192310 b,0.5529,0.0,0.3626,alive
0,PSR B1257+12 b,0.3042,0.725,0.4709,alive
0,PSR B1257+12 d,0.3042,0.0,0.6958,alive
0,ups And d,0.0365,0.9971,0.6924,alive
0,MOA-2007-BLG-192L b,0.95,0.0,0.013,alive
0,Kepler-40 b,0.2537,0.9158,0.1857,alive
0,TOI-756 b,0.942,0.164,0.1345,alive
0,HD 107148 b,0.2565,0.925,0.1114,alive
0,SWEEPS-11 b,0.3654,0.5506,0.1546,alive
0,OGLE-TR-211 b,0.4695,0.0,0.3035,alive
0,Lupus-TR-3 b,0.647,0.0,0.1215,alive
0,OGLE-2005-BLG-390L b,0.95,0.0,0.9357,alive
0,HN Peg b,0.9636,0.9984,0.0265,alive
0,HD 102365 b,0.4005,0.0,0.0077,alive
0,MOA-2009-BLG-387L b,0.95,0.8411,0.258,alive
0,GJ 674 b,0.9945,0.0,0.3325,alive
0,WASP-96 b,0.0745,0.6608,0.7722,alive
0,HD 69830 c,0.5199,0.0,0.1535,alive
0,2MASS J04414489+2301513 b,1.0,0.6614,0.4067,alive
0,WASP-21 b,0.0,0.2803,0.4778,dead
0,GJ 3634 b,0.9321,0.7279,0.2575,alive
0,HAT-P-4 b,0.3213,0.0,0.2697,alive
0,OGLE-TR-10 b,0.5698,0.6567,0.1316,alive
0,TOI-178 g,0.798,0.0,0.1657,alive
0,TOI-178 e,0.798,0.0,0.0312,alive
0,HD 27442 b,0.0,0.0,0.0826,dead
0,HD 69830 d,0.5199,0.0,0.3356,alive
0,GJ 3021 b,0.9715,0.0,0.3384,alive
0,HAT-P-16 b,0.6725,0.0,0.5331,alive
0,CoRoT-8 b,0.782,0.9288,0.1992,alive
0,OGLE-TR-113 b,0.293,0.9844,0.0732,alive
0,HD 46375 b,0.2693,0.7154,0.1006,alive
0,HD 147513 b,0.961,0.7537,0.529,alive
0,HD 221287 b,0.7728,0.0,0.4475,alive
0,HD 33564 b,0.4758,0.1989,0.4147,alive
0,CoRoT-11 b,0.6364,0.0,0.1972,alive
0,K2-138 g,0.7633,0.9977,0.1259,alive
0,CoRoT-12 b,0.2398,0.0,0.7368,alive
0,HAT-P-28 b,0.3511,0.0579,0.0397,alive
0,HD 129445 b,0.5124,0.5514,0.44,alive
0,Kepler-419 c,0.5124,0.2266,0.2252,alive
0,GJ 3470 b,0.9648,0.0,0.0151,alive
0,51 Eri b,0.9917,0.0,0.6904,alive
0,HD 70573 b,0.9898,0.5955,0.1265,alive
0,HD 47536 b,0.0,0.6772,0.583,dead
0,CoRoT-13 b,0.7971,0.5814,0.7449,alive
0,CoRoT-14 b,0.4298,0.5997,0.207,alive
0,47 UMa c,0.2503,0.9813,0.3848,alive
0,47 UMa b,0.2503,0.9954,0.1414,alive
0,47 UMa d,0.2503,0.3731,0.1543,alive
0,MOA-2008-BLG-310L b,0.95,0.9211,0.8061,alive
0,Kepler-419 b,0.5124,0.5476,0.1777,alive
0,HD 24040 b,0.1328,0.0,0.5723,alive
0,K2-138 e,0.7633,0.6082,0.1495,alive
0,HD 11964 c,0.4114,0.9727,0.3693,alive
0,CoRoT-6 b,0.7175,0.23,0.0464,alive
0,HAT-P-2 b,0.7061,0.8825,0.195,alive
0,Kepler-59 c,0.9713,0.9612,0.8662,alive
0,Kepler-58 c,0.8117,0.8787,0.4377,alive
0,HD 154857 c,0.0,0.0,0.137,dead
0,GJ 357 d,0.95,0.2899,0.2246,alive
0,Kepler-51 c,0.9669,0.0,0.5131,alive
0,BD-210397 c,0.8418,0.0,0.3052,alive
0,Kepler-62 c,0.7231,0.9916,0.6808,alive
0,Kepler-62 b,0.7231,0.1847,0.4095,alive
0,CHXR 73 b,1.0,0.321,0.4585,alive
0,FU Tau b,1.0,0.0,0.2899,alive
0,GJ 667 C b,0.98,0.9783,0.3954,alive
0,HD 168443 c,0.0,0.0,0.7984,dead
0,Kepler-59 b,0.9713,0.6684,0.8314,alive
0,Kepler-53 b,0.9714,0.1324,0.3449,alive
0,HD 82943 c,0.7151,0.6083,0.3713,alive
0,HD 82943 b,0.7151,0.9142,0.563,alive
0,UZ For b,0.795,0.9502,0.2087,alive
0,Kepler-69 b,0.2217,0.791,0.6138,alive
0,HIP 5158 c,0.6776,0.5092,0.0641,alive
0,HU Aqr AB b,0.6367,0.6058,0.1235,alive
0,HD 63433 c,0.963,0.8998,0.8607,alive
0,Kepler-52 c,0.9783,0.0,0.7997,alive
0,Kepler-55 b,0.9292,0.1968,0.1197,alive
0,UZ For c,0.795,0.0,0.6976,alive
0,Kepler-413 b,0.6955,0.9912,0.2631,alive
0,Earth,1.0,0.8598,0.0,alive
0,Mars,1.0,0.597,0.0,alive
1,Kepler-1167 b,0.7631,0.0,0.1575,alive
1,Kepler-1740 b,0.5681,0.1652,0.0485,alive
1,Kepler-1581 b,0.4463,0.9916,0.1029,alive
1,Kepler-644 b,0.5607,0.0,0.1332,alive
1,Kepler-1752 b,0.5562,0.0,0.2606,alive
1,Kepler-280 c,0.4898,0.0,0.4235,alive
1,Kepler-1208 b,0.7441,0.9,0.3266,alive
1,Kepler-263 c,0.8745,0.8382,0.326,alive
1,HD 136352 b,0.1316,0.8248,0.0849,alive
1,Kepler-1101 b,0.6341,0.7201,0.1027,alive
1,HD 168746 b,0.0524,0.6764,0.7377,alive
1,HAT-P-7 b,0.4587,0.5756,0.0708,alive
1,Kepler-560 b,0.9593,0.9407,0.2941,alive
1,Kepler-150 d,0.8444,0.0,0.5468,alive
1,Kepler-498 b,0.6301,0.9836,0.342,alive
1,Kepler-817 b,0.6177,0.0,0.186,alive
1,Kepler-937 b,0.5404,0.0,0.0991,alive
1,K2-10 b,0.6367,0.0,0.5076,alive
1,Kepler-571 b,0.6096,0.9736,0.0173,alive
1,Kepler-1458 b,0.6234,0.9535,0.1173,alive
1,K2-335 b,0.1609,0.7673,0.011,alive
1,Kepler-1600 c,0.5812,0.0,0.0675,alive
1,HIP 41378 f,0.3797,0.9894,0.3906,alive
1,Kepler-221 d,0.88,0.0,0.1158,alive
1,Kepler-626 b,0.4494,0.43,0.3516,alive
1,K2-39 b,0.7629,0.0927,0.1765,alive
1,Kepler-1549 b,0.652,0.0,0.419,alive
1,K2-62 c,0.8162,0.9992,0.5154,alive
1,Kepler-1149 b,0.5817,0.0,0.1111,alive
1,Kepler-1288 b,0.5455,0.673,0.1491,alive
1,Kepler-128 b,0.379,0.0,0.6052,alive
1,Kepler-1245 b,0.6865,0.9777,0.0741,alive
1,Kepler-1068 b,0.5724,0.9081,0.122,alive
1,Kepler-311 c,0.8078,0.962,0.4384,alive
1,Kepler-150 e,0.8444,0.7102,0.0826,alive
1,Kepler-272 c,0.0,0.9657,0.7638,dead
1,Kepler-152 c,0.8928,0.0,0.6799,alive
1,Kepler-1506 b,0.6498,0.9599,0.1349,alive
1,HAT-P-22 b,0.0,0.0,0.3635,dead
1,K2-25 b,0.9927,0.0,0.3948,alive
1,CoRoT-3 b,0.5165,0.1406,0.0326,alive
1,HD 205739 b,0.5329,0.2771,0.0708,alive
1,NGTS-10 b,0.5797,0.3399,0.0686,alive
1,HD 224693 b,0.1906,0.9947,0.1021,alive
1,HD 156279 b,0.6487,0.0,0.5815,alive
1,HD 12661 b,0.0,0.9983,0.6658,dead
1,2MASS J12073346-3932539 b,0.9999,0.5669,0.8324,alive
1,HD 16417 b,0.0,0.3835,0.2427,dead
1,HD 19994 b,0.4773,0.0,0.5168,alive
1,61 Vir b,0.2282,0.301,0.504,alive
1,HD 156279 c,0.6487,0.8893,0.1505,alive
1,GJ 179 b,0.95,0.0,0.2672,alive
1,GQ Lup b,0.9999,0.6684,0.2491,alive
1,GJ 832 b,0.89,0.2531,0.2463,alive
1,HD 37605 b,0.5159,0.7879,0.0106,alive
1,HD 33283 b,0.1877,0.8126,0.2365,alive
1,Kepler-4 b,0.2555,0.8775,0.5138,alive
1,HD 9446 b,0.4999,0.0,0.4925,alive
1,61 Vir c,0.2282,0.103,0.3396,alive
1,61 Vir d,0.2282,0.8744,0.7531,alive
1,HD 134987 c,0.0,0.0,0.3169,dead
1,HD 110014 b,0.3403,0.4788,0.1258,alive
1,HD 79498 b,0.6714,0.9348,0.5817,alive
1,WASP-43 b,0.8206,0.5018,0.5981,alive
1,HD 45652 b,0.318,0.9779,0.14,alive
1,HIP 79431 b,0.9159,0.8903,0.6643,alive
1,HD 3167 b,0.5,0.0,0.2439,alive
1,GJ 876 b,0.99,0.8899,0.419,alive
1,HD 114783 c,0.5389,0.9598,0.3095,alive
1,HD 47186 c,0.413,0.486,0.5866,alive
1,HD 114783 b,0.5967,0.0,0.4652,alive
1,HD 148156 b,0.1778,0.9926,0.0642,alive
1,HD 12661 c,0.3285,0.0,0.199,alive
1,HIP 14810 c,0.4012,0.0,0.0043,alive
1,HIP 14810 b,0.4012,0.5219,0.1873,alive
1,GJ 876 d,0.99,0.9833,0.1991,alive
1,GJ 876 e,0.99,0.8934,0.1404,alive
1,gam1 Leo b,0.5951,0.0,0.1041,alive
1,HAT-P-12 b,0.885,0.9473,0.3151,alive
1,HD 156411 b,0.2521,0.6311,0.3245,alive
1,HD 8535 b,0.3212,0.8197,0.6034,alive
1,HD 37605 c,0.5159,0.1239,0.0885,alive
1,K2-138 c,0.7632,0.705,0.1084,alive
1,HD 1605 c,0.1104,0.0,0.0928,alive
1,HAT-P-18 b,0.3548,0.6953,0.3318,alive
1,WASP-31 b,0.854,0.2846,0.4527,alive
1,BD+20 2457 b,0.0,0.9836,0.2972,dead
1,HD 240210 b,0.6903,0.3248,0.2483,alive
1,CoRoT-17 b,0.0,0.4244,0.6376,dead
1,HD 132563 b,0.6115,0.9665,0.1633,alive
1,HD 55696 b,0.5008,0.0,0.1801,alive
1,HD 148164 b,0.6117,0.9978,0.4329,alive
1,24 Sex c,0.2051,0.7184,0.0507,alive
1,K2-138 f,0.7632,0.9751,0.6728,alive
1,CoRoT-5 b,0.3099,0.8399,0.1111,alive
1,HD 192310 c,0.5529,0.0,0.1626,alive
1,HD 22781 b,0.7661,0.0,0.2679,alive
1,HD 68988 b,0.0,0.4772,0.32,dead
1,HD 148164 c,0.6117,0.0,0.3346,alive
1,HD 29985 b,0.7564,0.2079,0.4911,alive
1,HD 221416 b,0.2074,0.0,0.2569,alive
1,HD 3167 c,0.5,0.1746,0.1582,alive
1,HD 90156 b,0.7154,0.236,0.452,alive
1,KOI-217 b,0.8504,0.348,0.1156,alive
1,HD 45350 b,0.2393,0.0,0.6937,alive
1,TrES-3 b,0.9253,0.9746,0.043,alive
1,WASP-10 b,0.659,0.0,0.1192,alive
1,Kepler-14 b,0.3813,0.9521,0.2573,alive
1,MOA-2009-BLG-266L b,0.8826,0.7259,0.2592,alive
1,Kepler-15 b,0.613,0.0,0.0158,alive
1,Kepler-595 c,0.7747,0.9876,0.2346,alive
1,Kepler-595 b,0.7747,0.2472,0.7648,alive
1,HD 177830 c,0.0,0.6632,0.4433,dead
1,ups And c,0.0364,0.0,0.7933,alive
1,WASP-5 b,0.5123,0.6527,0.158,alive
1,OGLE-TR-111 b,0.4641,0.0,0.0722,alive
1,Kepler-17 b,0.8013,0.1402,0.0089,alive
1,CoRoT-18 b,0.9471,0.6259,0.2077,alive
1,HD 192310 b,0.5529,0.0,0.3613,alive
1,PSR B1257+12 b,0.304,0.7245,0.4712,alive
1,PSR B1257+12 d,0.304,0.0,0.696,alive
1,ups And d,0.0364,0.9974,0.6913,alive
1,MOA-2007-BLG-192L b,0.95,0.0,0.0172,alive
1,Kepler-40 b,0.2536,0.9151,0.1859,alive
1,TOI-756 b,0.942,0.164,0.1304,alive
1,HD 107148 b,0.2564,0.924,0.1109,alive
1,SWEEPS-11 b,0.3653,0.5498,0.1548,alive
1,OGLE-TR-211 b,0.4694,0.0,0.3021,alive
1,Lupus-TR-3 b,0.6469,0.0,0.119,alive
1,OGLE-2005-BLG-390L b,0.95,0.0,0.9312,alive
1,HN Peg b,0.9635,0.9976,0.0309,alive
1,HD 102365 b,0.4004,0.0,0.0068,alive
1,MOA-2009-BLG-387L b,0.95,0.8409,0.2537,alive
1,GJ 674 b,0.9945,0.0,0.3283,alive
1,WASP-96 b,0.0744,0.661,0.7713,alive
1,HD 69830 c,0.5198,0.0,0.1553,alive
1,2MASS J04414489+2301513 b,1.0,0.6606,0.4026,alive
1,WASP-21 b,0.0,0.28,0.477,dead
1,GJ 3634 b,0.9321,0.7279,0.2536,alive
1,HAT-P-4 b,0.3212,0.0,0.2689,alive
1,OGLE-TR-10 b,0.5697,0.6562,0.1335,alive
1,TOI-178 g,0.7979,0.0,0.1627,alive
1,TOI-178 e,0.7979,0.0,0.0282,alive
1,HD 27442 b,0.0,0.0,0.0813,dead
1,HD 69830 d,0.5198,0.0,0.3374,alive
1,GJ 3021 b,0.9715,0.0,0.3339,alive
1,HAT-P-16 b,0.6724,0.0,0.5316,alive
1,CoRoT-8 b,0.782,0.9283,0.1959,alive
1,OGLE-TR-113 b,0.2929,0.9833,0.074,alive
1,HD 46375 b,0.2693,0.7145,0.1016,alive
1,HD 147513 b,0.9609,0.7535,0.5249,alive
1,HD 221287 b,0.7727,0.0,0.4441,alive
1,HD 33564 b,0.4757,0.199,0.4162,alive
1,CoRoT-11 b,0.6363,0.0,0.1996,alive
1,K2-138 g,0.7632,0.9971,0.129,alive
1,CoRoT-12 b,0.2398,0.0,0.7368,alive
1,HAT-P-28 b,0.3511,0.0579,0.0406,alive
1,HD 129445 b,0.5123,0.5515,0.4395,alive
1,Kepler-419 c,0.5123,0.2264,0.2272,alive
1,GJ 3470 b,0.9648,0.0,0.0194,alive
1,51 Eri b,0.9915,0.0,0.6865,alive
1,HD 70573 b,0.9897,0.5951,0.1219,alive
1,HD 47536 b,0.0,0.6772,0.5818,dead
1,CoRoT-13 b,0.7971,0.5805,0.7412,alive
1,CoRoT-14 b,0.4298,0.5994,0.2064,alive
1,47 UMa c,0.2503,0.9812,0.385,alive
1,47 UMa b,0.2503,0.9952,0.1419,alive
1,47 UMa d,0.2503,0.3727,0.1552,alive
1,MOA-2008-BLG-310L b,0.95,0.9202,0.8012,alive
1,Kepler-419 b,0.5123,0.5477,0.1793,alive
1,HD 24040 b,0.1327,0.0,0.572,alive
1,K2-138 e,0.7632,0.6075,0.1527,alive
1,HD 11964 c,0.4114,0.9731,0.3706,alive
1,CoRoT-6 b,0.7175,0.23,0.0492,alive
1,HAT-P-2 b,0.706,0.8815,0.1978,alive
1,Kepler-59 c,0.9712,0.9601,0.862,alive
1,Kepler-58 c,0.8117,0.8781,0.435,alive
1,HD 154857 c,0.0,0.0,0.1363,dead
1,GJ 357 d,0.95,0.2897,0.2207,alive
1,Kepler-51 c,0.9668,0.0,0.5091,alive
1,BD-210397 c,0.8418,0.0,0.3023,alive
1,Kepler-62 c,0.7231,0.9917,0.6775,alive
1,Kepler-62 b,0.7231,0.1844,0.4064,alive
1,CHXR 73 b,1.0,0.321,0.4542,alive
1,FU Tau b,1.0,0.0,0.2855,alive
1,GJ 667 C b,0.98,0.9784,0.3912,alive
1,HD 168443 c,0.0,0.0,0.7969,dead
1,Kepler-59 b,0.9712,0.6677,0.8269,alive
1,Kepler-53 b,0.9714,0.1322,0.3408,alive
1,HD 82943 c,0.715,0.6084,0.3682,alive
1,HD 82943 b,0.715,0.9138,0.5599,alive
1,UZ For b,0.795,0.9496,0.2053,alive
1,Kepler-69 b,0.2217,0.7908,0.6137,alive
1,HIP 5158 c,0.6776,0.5094,0.0617,alive
1,HU Aqr AB b,0.6367,0.605,0.1214,alive
1,HD 63433 c,0.9629,0.8996,0.857,alive
1,Kepler-52 c,0.9783,0.0,0.7963,alive
1,Kepler-55 b,0.9291,0.1967,0.1158,alive
1,UZ For c,0.795,0.0,0.6946,alive
1,Kepler-413 b,0.6955,0.9909,0.2658,alive
1,Earth,0.9999,0.8584,0.0001,alive
1,Mars,0.9999,0.5956,0.0001,alive
2,Kepler-1167 b,0.7631,0.0,0.1544,alive
2,Kepler-1740 b,0.5681,0.165,0.0507,alive
2,Kepler-1581 b,0.4462,0.9911,0.1048,alive
2,Kepler-644 b,0.5606,0.0,0.132,alive
2,Kepler-1752 b,0.5561,0.0,0.2586,alive
2,Kepler-280 c,0.4897,0.0,0.4234,alive
2,Kepler-1208 b,0.744,0.8993,0.3243,alive
2,Kepler-263 c,0.8745,0.8382,0.3226,alive
2,HD 136352 b,0.1315,0.8244,0.0869,alive
2,Kepler-1101 b,0.6341,0.7203,0.1008,alive
2,HD 168746 b,0.0524,0.6764,0.7365,alive
2,HAT-P-7 b,0.4585,0.5748,0.0727,alive
2,Kepler-560 b,0.9593,0.9395,0.29,alive
2,Kepler-150 d,0.8444,0.0,0.5441,alive
2,Kepler-498 b,0.63,0.983,0.3443,alive
2,Kepler-817 b,0.6176,0.0,0.1882,alive
2,Kepler-937 b,0.5403,0.0,0.1008,alive
2,K2-10 b,0.6367,0.0,0.5064,alive
2,Kepler-571 b,0.6095,0.9738,0.0199,alive
2,Kepler-1458 b,0.6233,0.9539,0.1157,alive
2,K2-335 b,0.1608,0.7672,0.0122,alive
2,Kepler-1600 c,0.5811,0.0,0.0661,alive
2,HIP 41378 f,0.3796,0.9886,0.3915,alive
2,Kepler-221 d,0.8799,0.0,0.1196,alive
2,Kepler-626 b,0.4493,0.4294,0.3513,alive
2,K2-39 b,0.7628,0.0927,0.1797,alive
