t,observer,memory,life,alive
0,Human Civilization,1.0,0.9956,True
0,Archive AI,0.9191,0.9969,True
1,Human Civilization,1.0,0.9864,True
1,Archive AI,0.9338,0.9902,True
2,Human Civilization,1.0,0.9791,True
2,Archive AI,0.9346,0.9915,True
3,Human Civilization,1.0,0.9812,True
3,Archive AI,0.9517,0.9889,True
4,Human Civilization,0.9922,0.9876,True
4,Archive AI,0.9555,0.9808,True
5,Human Civilization,0.9865,0.9874,True
5,Archive AI,0.9516,0.9859,True
6,Human Civilization,0.9858,0.9902,True
6,Archive AI,0.9437,0.9776,True
7,Human Civilization,1.0,0.9881,True
7,Archive AI,0.947,0.9677,True
8,Human Civilization,1.0,0.9913,True
8,Archive AI,0.9605,0.9767,True
9,Human Civilization,0.9906,0.9846,True
9,Archive AI,0.9572,0.9688,True
10,Human Civilization,0.9902,0.975,True
10,Archive AI,0.9648,0.9717,True
11,Human Civilization,0.9989,0.9818,True
11,Archive AI,0.9656,0.9645,True
12,Human Civilization,0.9986,0.9817,True
12,Archive AI,0.9624,0.9674,True
13,Human Civilization,0.9963,0.9754,True
13,Archive AI,0.9542,0.959,True
14,Human Civilization,0.9935,0.9709,True
14,Archive AI,0.9551,0.9506,True
15,Human Civilization,0.986,0.9626,True
15,Archive AI,0.9583,0.9408,True
16,Human Civilization,0.9935,0.9696,True
16,Archive AI,0.9781,0.9353,True
17,Human Civilization,1.0,0.9773,True
17,Archive AI,0.9865,0.9336,True
18,Human Civilization,0.9976,0.9867,True
18,Archive AI,0.9974,0.9294,True
19,Human Civilization,1.0,0.9877,True
19,Archive AI,0.9922,0.9381,True
20,Human Civilization,1.0,0.982,True
20,Archive AI,0.9871,0.9372,True
21,Human Civilization,1.0,0.9819,True
21,Archive AI,0.9811,0.9311,True
22,Human Civilization,1.0,0.9916,True
22,Archive AI,0.9861,0.9328,True
23,Human Civilization,1.0,0.9961,True
23,Archive AI,0.9824,0.9418,True
24,Human Civilization,1.0,1.0,True
24,Archive AI,0.9796,0.9501,True
25,Human Civilization,1.0,1.0,True
25,Archive AI,0.9838,0.9508,True
26,Human Civilization,1.0,0.9982,True
26,Archive AI,0.9994,0.9408,True
27,Human Civilization,0.9902,0.9966,True
27,Archive AI,1.0,0.9343,True
28,Human Civilization,1.0,0.9907,True
28,Archive AI,0.9953,0.9331,True
29,Human Civilization,1.0,0.9954,True
29,Archive AI,0.9902,0.9345,True
30,Human Civilization,0.9979,1.0,True
30,Archive AI,1.0,0.9281,True
31,Human Civilization,0.9964,1.0,True
31,Archive AI,1.0,0.9282,True
32,Human Civilization,1.0,1.0,True
32,Archive AI,1.0,0.9226,True
33,Human Civilization,0.9993,1.0,True
33,Archive AI,1.0,0.9178,True
34,Human Civilization,1.0,1.0,True
34,Archive AI,0.9973,0.9088,True
35,Human Civilization,1.0,1.0,True
35,Archive AI,0.9969,0.9164,True
36,Human Civilization,0.9963,0.9945,True
36,Archive AI,1.0,0.9152,True
37,Human Civilization,0.9892,1.0,True
37,Archive AI,0.9973,0.9072,True
38,Human Civilization,1.0,1.0,True
38,Archive AI,1.0,0.905,True
39,Human Civilization,0.9945,0.9928,True
39,Archive AI,1.0,0.9023,True
40,Human Civilization,0.9982,0.9934,True
40,Archive AI,1.0,0.9012,True
41,Human Civilization,1.0,0.9914,True
41,Archive AI,1.0,0.8977,True
42,Human Civilization,0.9966,0.9823,True
42,Archive AI,1.0,0.9053,True
43,Human Civilization,1.0,0.9796,True
43,Archive AI,1.0,0.905,True
44,Human Civilization,1.0,0.9827,True
44,Archive AI,1.0,0.9087,True
45,Human Civilization,0.9972,0.9909,True
45,Archive AI,1.0,0.918,True
46,Human Civilization,1.0,0.993,True
46,Archive AI,1.0,0.9137,True
47,Human Civilization,1.0,0.9853,True
47,Archive AI,1.0,0.9044,True
48,Human Civilization,0.9957,0.9812,True
48,Archive AI,0.9939,0.9002,True
49,Human Civilization,0.9938,0.9833,True
49,Archive AI,0.9946,0.8949,True
50,Human Civilization,1.0,0.9851,True
50,Archive AI,0.9867,0.904,True
51,Human Civilization,1.0,0.9809,True
51,Archive AI,0.9846,0.9066,True
52,Human Civilization,1.0,0.9871,True
52,Archive AI,0.999,0.9144,True
53,Human Civilization,1.0,0.9946,True
53,Archive AI,1.0,0.9078,True
54,Human Civilization,1.0,0.989,True
54,Archive AI,1.0,0.9073,True
55,Human Civilization,1.0,0.9813,True
55,Archive AI,1.0,0.911,True
56,Human Civilization,1.0,0.9837,True
56,Archive AI,1.0,0.9158,True
57,Human Civilization,1.0,0.9761,True
57,Archive AI,1.0,0.9206,True
58,Human Civilization,1.0,0.9813,True
58,Archive AI,0.9933,0.9107,True
59,Human Civilization,0.9906,0.9842,True
59,Archive AI,0.9871,0.9031,True
60,Human Civilization,0.983,0.992,True
60,Archive AI,0.9863,0.9015,True
61,Human Civilization,0.9942,0.988,True
61,Archive AI,0.9922,0.9048,True
62,Human Civilization,0.985,0.9803,True
62,Archive AI,1.0,0.8979,True
63,Human Civilization,0.991,0.9722,True
63,Archive AI,1.0,0.8976,True
64,Human Civilization,1.0,0.9808,True
64,Archive AI,0.9963,0.8968,True
65,Human Civilization,1.0,0.9766,True
65,Archive AI,1.0,0.8929,True
66,Human Civilization,1.0,0.9795,True
66,Archive AI,0.997,0.8995,True
67,Human Civilization,1.0,0.9724,True
67,Archive AI,0.991,0.8989,True
68,Human Civilization,0.9953,0.973,True
68,Archive AI,0.9981,0.8991,True
69,Human Civilization,0.9865,0.9649,True
69,Archive AI,0.9933,0.8978,True
70,Human Civilization,0.992,0.9717,True
70,Archive AI,0.994,0.9014,True
71,Human Civilization,0.983,0.963,True
71,Archive AI,0.9888,0.9011,True
72,Human Civilization,0.9758,0.9712,True
72,Archive AI,0.9923,0.898,True
73,Human Civilization,0.9741,0.9721,True
73,Archive AI,0.9857,0.8979,True
74,Human Civilization,0.9648,0.9725,True
74,Archive AI,0.995,0.9017,True
75,Human Civilization,0.9748,0.9733,True
75,Archive AI,1.0,0.9042,True
76,Human Civilization,0.9902,0.9712,True
76,Archive AI,1.0,0.8985,True
77,Human Civilization,0.9814,0.9708,True
77,Archive AI,1.0,0.8981,True
78,Human Civilization,0.9946,0.9694,True
78,Archive AI,1.0,0.8939,True
79,Human Civilization,1.0,0.9642,True
79,Archive AI,0.9965,0.8953,True
80,Human Civilization,1.0,0.9688,True
80,Archive AI,1.0,0.8953,True
81,Human Civilization,0.9984,0.9777,True
81,Archive AI,1.0,0.8938,True
82,Human Civilization,0.9928,0.9793,True
82,Archive AI,1.0,0.9012,True
83,Human Civilization,0.9852,0.9836,True
83,Archive AI,1.0,0.9103,True
84,Human Civilization,0.9919,0.9838,True
84,Archive AI,1.0,0.9053,True
85,Human Civilization,0.9835,0.975,True
85,Archive AI,1.0,0.9103,True
86,Human Civilization,0.9969,0.9694,True
86,Archive AI,1.0,0.9059,True
87,Human Civilization,1.0,0.9682,True
87,Archive AI,1.0,0.9052,True
88,Human Civilization,0.9992,0.9583,True
88,Archive AI,1.0,0.9062,True
89,Human Civilization,1.0,0.9568,True
89,Archive AI,1.0,0.9136,True
90,Human Civilization,0.9978,0.9639,True
90,Archive AI,0.9982,0.9097,True
91,Human Civilization,1.0,0.9681,True
91,Archive AI,1.0,0.9044,True
92,Human Civilization,1.0,0.9638,True
92,Archive AI,1.0,0.8954,True
93,Human Civilization,1.0,0.9632,True
93,Archive AI,1.0,0.9025,True
94,Human Civilization,1.0,0.9542,True
94,Archive AI,1.0,0.9101,True
95,Human Civilization,1.0,0.9566,True
95,Archive AI,0.9986,0.9172,True
96,Human Civilization,1.0,0.9493,True
96,Archive AI,0.9887,0.926,True
97,Human Civilization,1.0,0.9457,True
97,Archive AI,0.9899,0.9287,True
98,Human Civilization,1.0,0.952,True
98,Archive AI,1.0,0.9287,True
99,Human Civilization,0.995,0.9601,True
99,Archive AI,1.0,0.9231,True
100,Human Civilization,1.0,0.9606,True
100,Archive AI,1.0,0.9236,True
101,Human Civilization,1.0,0.9655,True
101,Archive AI,1.0,0.918,True
102,Human Civilization,1.0,0.9571,True
102,Archive AI,1.0,0.9177,True
103,Human Civilization,1.0,0.9481,True
103,Archive AI,1.0,0.9176,True
104,Human Civilization,1.0,0.949,True
104,Archive AI,0.9982,0.9142,True
105,Human Civilization,1.0,0.9473,True
105,Archive AI,1.0,0.9115,True
106,Human Civilization,0.9916,0.9486,True
106,Archive AI,0.9998,0.9064,True
107,Human Civilization,0.9867,0.9516,True
107,Archive AI,0.9997,0.9085,True
108,Human Civilization,0.9878,0.9475,True
108,Archive AI,1.0,0.9055,True
109,Human Civilization,0.9805,0.9533,True
109,Archive AI,0.9969,0.8986,True
110,Human Civilization,0.9878,0.9529,True
110,Archive AI,1.0,0.8912,True
111,Human Civilization,0.9852,0.957,True
111,Archive AI,0.995,0.8863,True
112,Human Civilization,0.9794,0.9565,True
112,Archive AI,0.997,0.8803,True
113,Human Civilization,0.9936,0.9601,True
113,Archive AI,1.0,0.8745,True
114,Human Civilization,0.9999,0.9509,True
114,Archive AI,1.0,0.8647,True
115,Human Civilization,1.0,0.953,True
115,Archive AI,0.995,0.8709,True
116,Human Civilization,1.0,0.9582,True
116,Archive AI,0.9974,0.8638,True
117,Human Civilization,0.9961,0.9629,True
117,Archive AI,1.0,0.8632,True
118,Human Civilization,0.9905,0.9643,True
118,Archive AI,0.9933,0.8635,True
119,Human Civilization,0.9915,0.9546,True
119,Archive AI,1.0,0.8701,True
120,Human Civilization,0.986,0.9548,True
120,Archive AI,1.0,0.8689,True
121,Human Civilization,1.0,0.9493,True
121,Archive AI,1.0,0.866,True
122,Human Civilization,1.0,0.9407,True
122,Archive AI,0.9904,0.8633,True
123,Human Civilization,1.0,0.9423,True
123,Archive AI,0.9869,0.8634,True
124,Human Civilization,1.0,0.9447,True
124,Archive AI,0.9852,0.8571,True
125,Human Civilization,0.9906,0.954,True
125,Archive AI,0.9881,0.8477,True
126,Human Civilization,1.0,0.9517,True
126,Archive AI,1.0,0.839,True
127,Human Civilization,1.0,0.9609,True
127,Archive AI,1.0,0.8381,True
128,Human Civilization,1.0,0.9656,True
128,Archive AI,1.0,0.8289,True
129,Human Civilization,0.9998,0.9579,True
129,Archive AI,0.9971,0.8301,True
