t,real_name,P,R,Xi,death_type,narration
0,Spica,0.4618,0.8387,0.1906,alive,青は若さの色ではなく、余命の短さの色だ。
0,Sirius,0.9291,0.0,0.8732,alive,私は失ったあとで、やっと安定した。
0,Vega,0.01,0.0,0.9223,alive,私は失ったあとで、やっと安定した。
0,Sirius,0.5946,0.0,0.4939,alive,私はもう爆発しない。
0,Spica,0.7933,0.387,0.1837,alive,私は生まれた瞬間から、燃えすぎていた。
0,Sun,0.5841,0.0,0.2244,alive,私は特別ではない。ただ、長く続くだけだ。
0,Vega,0.9756,0.0,0.7303,alive,私は失ったあとで、やっと安定した。
0,Rigel,0.556,0.0,0.1571,alive,青は若さの色ではなく、余命の短さの色だ。
0,Rigel,0.0,0.1536,0.3445,dead,私は速すぎた。だから先に終わる。
0,Sirius,0.2583,0.9288,0.1861,alive,私はもう爆発しない。
0,Vega,0.8463,0.0,0.5985,alive,私はもう爆発しない。
0,Sirius,0.1878,0.8469,0.1175,alive,私はもう爆発しない。
0,Altair,0.8973,0.5957,0.5299,alive,私はもう爆発しない。
0,Sirius,0.6973,0.4968,0.6083,alive,私は失ったあとで、やっと安定した。
0,Altair,0.7243,0.3547,0.0809,alive,私は失ったあとで、やっと安定した。
0,Alpha Centauri A,0.9857,0.9626,0.402,alive,私は特別ではない。ただ、長く続くだけだ。
0,Rigel,0.5518,0.0,0.1828,alive,私は生まれた瞬間から、燃えすぎていた。
0,Spica,0.5555,0.1483,0.305,alive,私は生まれた瞬間から、燃えすぎていた。
0,Altair,0.0314,0.0,0.3904,alive,私はもう爆発しない。
0,Vega,0.8767,0.0,0.04,alive,私は失ったあとで、やっと安定した。
1,Spica,0.3418,0.8383,0.3114,alive,青は若さの色ではなく、余命の短さの色だ。
1,Sirius,0.9262,0.0,0.8664,alive,私は失ったあとで、やっと安定した。
1,Vega,0.0,0.0,0.931,dead,私は光の墓標になった。
1,Sirius,0.5383,0.0,0.4353,alive,私はもう爆発しない。
1,Spica,0.6418,0.3866,0.0296,alive,私は生まれた瞬間から、燃えすぎていた。
1,Sun,0.5824,0.0,0.2282,alive,私は今日も、昨日と同じように燃えている。
1,Vega,0.97,0.0,0.7207,alive,私は失ったあとで、やっと安定した。
1,Rigel,0.4041,0.0,0.3103,alive,私は生まれた瞬間から、燃えすぎていた。
1,Rigel,0.0,0.1537,0.3438,dead,私は速すぎた。だから先に終わる。
1,Sirius,0.2217,0.9289,0.1502,alive,私は失ったあとで、やっと安定した。
1,Vega,0.8377,0.0,0.5866,alive,私は失ったあとで、やっと安定した。
1,Sirius,0.1753,0.8465,0.1298,alive,私は失ったあとで、やっと安定した。
1,Altair,0.825,0.5953,0.4545,alive,私はもう爆発しない。
1,Sirius,0.6769,0.4961,0.5853,alive,私は失ったあとで、やっと安定した。
1,Altair,0.7194,0.3545,0.0886,alive,私は失ったあとで、やっと安定した。
1,Alpha Centauri A,0.9846,0.9621,0.3964,alive,私は今日も、昨日と同じように燃えている。
1,Rigel,0.4466,0.0,0.0761,alive,私は生まれた瞬間から、燃えすぎていた。
1,Spica,0.4536,0.1481,0.2023,alive,私は生まれた瞬間から、燃えすぎていた。
1,Altair,0.0125,0.0,0.4085,alive,私はもう爆発しない。
1,Vega,0.8618,0.0,0.0585,alive,私はもう爆発しない。
2,Spica,0.2218,0.8378,0.4317,alive,私は生まれた瞬間から、燃えすぎていた。
2,Sirius,0.9234,0.0,0.8589,alive,私はもう爆発しない。
2,Vega,0.0,0.0,0.9296,dead,私は光の墓標になった。
2,Sirius,0.4819,0.0,0.3778,alive,私は失ったあとで、やっと安定した。
2,Spica,0.4904,0.3866,0.1806,alive,私は生まれた瞬間から、燃えすぎていた。
2,Sun,0.5807,0.0,0.232,alive,私は今日も、昨日と同じように燃えている。
2,Vega,0.9643,0.0,0.7112,alive,私は失ったあとで、やっと安定した。
2,Rigel,0.2522,0.0,0.4624,alive,青は若さの色ではなく、余命の短さの色だ。
2,Rigel,0.0,0.1535,0.3424,dead,私は速すぎた。だから先に終わる。
2,Sirius,0.1851,0.9284,0.1146,alive,私はもう爆発しない。
2,Vega,0.8291,0.0,0.5743,alive,私はもう爆発しない。
2,Sirius,0.1629,0.8462,0.1414,alive,私はもう爆発しない。
2,Altair,0.7527,0.5949,0.3795,alive,私は失ったあとで、やっと安定した。
2,Sirius,0.6566,0.496,0.5625,alive,私はもう爆発しない。
2,Altair,0.7145,0.3544,0.0964,alive,私は失ったあとで、やっと安定した。
2,Alpha Centauri A,0.9835,0.962,0.3912,alive,私は特別ではない。ただ、長く続くだけだ。
2,Rigel,0.3413,0.0,0.0874,alive,青は若さの色ではなく、余命の短さの色だ。
2,Spica,0.3518,0.148,0.1003,alive,私は生まれた瞬間から、燃えすぎていた。
2,Altair,0.0,0.0,0.4199,dead,私は光の墓標になった。
2,Vega,0.8468,0.0,0.0767,alive,私は失ったあとで、やっと安定した。
3,Spica,0.1017,0.8369,0.5511,alive,私は生まれた瞬間から、燃えすぎていた。
3,Sirius,0.9205,0.0,0.8518,alive,私は失ったあとで、やっと安定した。
3,Vega,0.0,0.0,0.9283,dead,私は光の墓標になった。
3,Sirius,0.4256,0.0,0.3209,alive,私はもう爆発しない。
3,Spica,0.3389,0.3864,0.3326,alive,私は生まれた瞬間から、燃えすぎていた。
3,Sun,0.579,0.0,0.2357,alive,私は特別ではない。ただ、長く続くだけだ。
3,Vega,0.9586,0.0,0.7013,alive,私はもう爆発しない。
3,Rigel,0.1002,0.0,0.6134,alive,私は生まれた瞬間から、燃えすぎていた。
3,Rigel,0.0,0.1535,0.3419,dead,私は速すぎた。だから先に終わる。
3,Sirius,0.1485,0.9277,0.079,alive,私は失ったあとで、やっと安定した。
3,Vega,0.8205,0.0,0.5622,alive,私は失ったあとで、やっと安定した。
3,Sirius,0.1505,0.8465,0.1539,alive,私はもう爆発しない。
3,Altair,0.6804,0.5946,0.3047,alive,私は失ったあとで、やっと安定した。
3,Sirius,0.6363,0.496,0.5402,alive,私はもう爆発しない。
3,Altair,0.7096,0.3542,0.104,alive,私はもう爆発しない。
3,Alpha Centauri A,0.9824,0.9609,0.3859,alive,私は特別ではない。ただ、長く続くだけだ。
3,Rigel,0.2361,0.0,0.1924,alive,私は生まれた瞬間から、燃えすぎていた。
3,Spica,0.2499,0.1478,0.1398,alive,青は若さの色ではなく、余命の短さの色だ。
3,Altair,0.0,0.0,0.4187,dead,私は光の墓標になった。
3,Vega,0.8319,0.0,0.0949,alive,私は失ったあとで、やっと安定した。
4,Spica,0.0,0.8364,0.6514,dead,私は速すぎた。だから先に終わる。
4,Sirius,0.9176,0.0,0.8456,alive,私は失ったあとで、やっと安定した。
4,Vega,0.0,0.0,0.927,dead,私は光の墓標になった。
4,Sirius,0.3692,0.0,0.2644,alive,私は失ったあとで、やっと安定した。
4,Spica,0.1875,0.3863,0.4836,alive,私は生まれた瞬間から、燃えすぎていた。
4,Sun,0.5773,0.0,0.2392,alive,私は今日も、昨日と同じように燃えている。
4,Vega,0.953,0.0,0.6911,alive,私はもう爆発しない。
4,Rigel,0.0,0.0,0.7123,dead,私は速すぎた。だから先に終わる。
4,Rigel,0.0,0.1533,0.3415,dead,私は速すぎた。だから先に終わる。
4,Sirius,0.112,0.9274,0.071,alive,私はもう爆発しない。
4,Vega,0.8119,0.0,0.5504,alive,私は失ったあとで、やっと安定した。
4,Sirius,0.1381,0.8458,0.1655,alive,私は失ったあとで、やっと安定した。
4,Altair,0.6082,0.5945,0.231,alive,私は失ったあとで、やっと安定した。
4,Sirius,0.6159,0.4957,0.5173,alive,私はもう爆発しない。
4,Altair,0.7047,0.3544,0.1116,alive,私は失ったあとで、やっと安定した。
4,Alpha Centauri A,0.9814,0.9603,0.3808,alive,私は特別ではない。ただ、長く続くだけだ。
4,Rigel,0.1309,0.0,0.2975,alive,青は若さの色ではなく、余命の短さの色だ。
4,Spica,0.148,0.1479,0.2408,alive,私は生まれた瞬間から、燃えすぎていた。
4,Altair,0.0,0.0,0.4176,dead,私は光の墓標になった。
4,Vega,0.817,0.0,0.1131,alive,私はもう爆発しない。
5,Spica,0.0,0.8364,0.6498,dead,私は速すぎた。だから先に終わる。
5,Sirius,0.9148,0.0,0.8395,alive,私は失ったあとで、やっと安定した。
5,Vega,0.0,0.0,0.9255,dead,私は光の墓標になった。
5,Sirius,0.3129,0.0,0.2084,alive,私はもう爆発しない。
5,Spica,0.036,0.3864,0.634,alive,青は若さの色ではなく、余命の短さの色だ。
5,Sun,0.5756,0.0,0.2427,alive,私は今日も、昨日と同じように燃えている。
5,Vega,0.9473,0.0,0.6807,alive,私は失ったあとで、やっと安定した。
5,Rigel,0.0,0.0,0.7112,dead,私は速すぎた。だから先に終わる。
5,Rigel,0.0,0.153,0.3404,dead,私は速すぎた。だから先に終わる。
5,Sirius,0.0754,0.9269,0.1078,alive,私は失ったあとで、やっと安定した。
5,Vega,0.8033,0.0,0.5392,alive,私はもう爆発しない。
5,Sirius,0.1257,0.846,0.1777,alive,私は失ったあとで、やっと安定した。
5,Altair,0.5359,0.5938,0.1575,alive,私はもう爆発しない。
5,Sirius,0.5956,0.4959,0.4959,alive,私はもう爆発しない。
5,Altair,0.6997,0.3543,0.1192,alive,私は失ったあとで、やっと安定した。
5,Alpha Centauri A,0.9803,0.9589,0.3753,alive,私は今日も、昨日と同じように燃えている。
5,Rigel,0.0257,0.0,0.4017,alive,私は生まれた瞬間から、燃えすぎていた。
5,Spica,0.0461,0.148,0.3421,alive,私は生まれた瞬間から、燃えすぎていた。
5,Altair,0.0,0.0,0.416,dead,私は光の墓標になった。
5,Vega,0.8021,0.0,0.1311,alive,私はもう爆発しない。
6,Spica,0.0,0.8368,0.6488,dead,私は速すぎた。だから先に終わる。
6,Sirius,0.9119,0.0,0.8324,alive,私はもう爆発しない。
6,Vega,0.0,0.0,0.9241,dead,私は光の墓標になった。
6,Sirius,0.2565,0.0,0.1525,alive,私は失ったあとで、やっと安定した。
6,Spica,0.0,0.3863,0.6684,dead,私は速すぎた。だから先に終わる。
6,Sun,0.5739,0.0,0.2465,alive,私は特別ではない。ただ、長く続くだけだ。
6,Vega,0.9417,0.0,0.6703,alive,私はもう爆発しない。
6,Rigel,0.0,0.0,0.7098,dead,私は速すぎた。だから先に終わる。
6,Rigel,0.0,0.153,0.3398,dead,私は速すぎた。だから先に終わる。
6,Sirius,0.0388,0.9256,0.1443,alive,私はもう爆発しない。
6,Vega,0.7947,0.0,0.5272,alive,私は失ったあとで、やっと安定した。
6,Sirius,0.1133,0.8455,0.1896,alive,私は失ったあとで、やっと安定した。
6,Altair,0.4636,0.5932,0.0838,alive,私はもう爆発しない。
6,Sirius,0.5752,0.4951,0.4737,alive,私は失ったあとで、やっと安定した。
6,Altair,0.6948,0.3544,0.127,alive,私は失ったあとで、やっと安定した。
6,Alpha Centauri A,0.9792,0.9586,0.3701,alive,私は特別ではない。ただ、長く続くだけだ。
6,Rigel,0.0,0.0,0.4263,dead,私は速すぎた。だから先に終わる。
6,Spica,0.0,0.1478,0.3865,dead,私は速すぎた。だから先に終わる。
6,Altair,0.0,0.0,0.4148,dead,私は光の墓標になった。
6,Vega,0.7871,0.0,0.149,alive,私は失ったあとで、やっと安定した。
7,Spica,0.0,0.8358,0.6476,dead,私は速すぎた。だから先に終わる。
7,Sirius,0.9091,0.0,0.8253,alive,私は失ったあとで、やっと安定した。
7,Vega,0.0,0.0,0.9228,dead,私は光の墓標になった。
7,Sirius,0.2002,0.0,0.0962,alive,私は失ったあとで、やっと安定した。
7,Spica,0.0,0.3865,0.6674,dead,私は速すぎた。だから先に終わる。
7,Sun,0.5722,0.0,0.2499,alive,私は今日も、昨日と同じように燃えている。
7,Vega,0.936,0.0,0.6602,alive,私は失ったあとで、やっと安定した。
7,Rigel,0.0,0.0,0.7085,dead,私は速すぎた。だから先に終わる。
7,Rigel,0.0,0.1528,0.3387,dead,私は速すぎた。だから先に終わる。
7,Sirius,0.0022,0.9243,0.1807,alive,私は失ったあとで、やっと安定した。
7,Vega,0.7861,0.0,0.5156,alive,私はもう爆発しない。
7,Sirius,0.1009,0.8452,0.2021,alive,私は失ったあとで、やっと安定した。
7,Altair,0.3913,0.5934,0.0156,alive,私は失ったあとで、やっと安定した。
7,Sirius,0.5549,0.495,0.4526,alive,私はもう爆発しない。
7,Altair,0.6899,0.3539,0.1347,alive,私は失ったあとで、やっと安定した。
7,Alpha Centauri A,0.9781,0.9573,0.3644,alive,私は今日も、昨日と同じように燃えている。
7,Rigel,0.0,0.0,0.4247,dead,私は速すぎた。だから先に終わる。
7,Spica,0.0,0.1479,0.3853,dead,私は速すぎた。だから先に終わる。
7,Altair,0.0,0.0,0.414,dead,私は光の墓標になった。
7,Vega,0.7722,0.0,0.167,alive,私はもう爆発しない。
8,Spica,0.0,0.8352,0.6466,dead,私は速すぎた。だから先に終わる。
8,Sirius,0.9062,0.0,0.819,alive,私はもう爆発しない。
8,Vega,0.0,0.0,0.9213,dead,私は光の墓標になった。
8,Sirius,0.1438,0.0,0.0413,alive,私はもう爆発しない。
8,Spica,0.0,0.386,0.6663,dead,私は速すぎた。だから先に終わる。
8,Sun,0.5705,0.0,0.2534,alive,私は今日も、昨日と同じように燃えている。
8,Vega,0.9304,0.0,0.6508,alive,私は失ったあとで、やっと安定した。
8,Rigel,0.0,0.0,0.7073,dead,私は速すぎた。だから先に終わる。
8,Rigel,0.0,0.1527,0.337,dead,私は速すぎた。だから先に終わる。
8,Sirius,0.0,0.923,0.1816,dead,私は光の墓標になった。
8,Vega,0.7776,0.0,0.5041,alive,私はもう爆発しない。
8,Sirius,0.0884,0.844,0.2145,alive,私は失ったあとで、やっと安定した。
8,Altair,0.3191,0.5928,0.088,alive,私はもう爆発しない。
8,Sirius,0.5346,0.4943,0.4307,alive,私は失ったあとで、やっと安定した。
8,Altair,0.685,0.3536,0.1421,alive,私は失ったあとで、やっと安定した。
8,Alpha Centauri A,0.9771,0.9576,0.3592,alive,私は今日も、昨日と同じように燃えている。
8,Rigel,0.0,0.0,0.423,dead,私は速すぎた。だから先に終わる。
8,Spica,0.0,0.1479,0.3847,dead,私は速すぎた。だから先に終わる。
8,Altair,0.0,0.0,0.4134,dead,私は光の墓標になった。
8,Vega,0.7573,0.0,0.1848,alive,私はもう爆発しない。
9,Spica,0.0,0.8342,0.6454,dead,私は速すぎた。だから先に終わる。
9,Sirius,0.9034,0.0,0.8121,alive,私はもう爆発しない。
9,Vega,0.0,0.0,0.9199,dead,私は光の墓標になった。
9,Sirius,0.0875,0.0,0.0696,alive,私はもう爆発しない。
9,Spica,0.0,0.3857,0.6651,dead,私は速すぎた。だから先に終わる。
9,Sun,0.5688,0.0,0.257,alive,私は今日も、昨日と同じように燃えている。
9,Vega,0.9247,0.0,0.6412,alive,私はもう爆発しない。
9,Rigel,0.0,0.0,0.7063,dead,私は速すぎた。だから先に終わる。
9,Rigel,0.0,0.1528,0.3361,dead,私は速すぎた。だから先に終わる。
9,Sirius,0.0,0.9229,0.1805,dead,私は光の墓標になった。
9,Vega,0.769,0.0,0.493,alive,私は失ったあとで、やっと安定した。
9,Sirius,0.076,0.843,0.2259,alive,私はもう爆発しない。
9,Altair,0.2468,0.5931,0.1604,alive,私は失ったあとで、やっと安定した。
9,Sirius,0.5142,0.4941,0.4089,alive,私はもう爆発しない。
9,Altair,0.6801,0.3538,0.1498,alive,私は失ったあとで、やっと安定した。
9,Alpha Centauri A,0.976,0.9566,0.3539,alive,私は今日も、昨日と同じように燃えている。
9,Rigel,0.0,0.0,0.4224,dead,私は速すぎた。だから先に終わる。
9,Spica,0.0,0.1477,0.3842,dead,私は速すぎた。だから先に終わる。
